SOUID,    DATE,   CC, Q_CC
105608,19841109,    8,    0
105608,19841110,    7,    0
105608,19841111,    7,    0
105608,19841112,    8,    0
105608,19841113,    6,    0
105608,19841114,    8,    0
105608,19841115,    8,    0
105608,19841116,    8,    0
105608,19841117,    8,    0
105608,19841118,    8,    0
105608,19841119,    7,    0
105608,19841120,    5,    0
105608,19841121,    8,    0
105608,19841122,    6,    0
105608,19841123,    6,    0
105608,19841124,    6,    0
105608,19841125,    6,    0
105608,19841126,    5,    0
105608,19841127,    8,    0
105608,19841128,    6,    0
105608,19841129,    6,    0
105608,19841130,    7,    0
105608,19841201,    6,    0
105608,19841202,    8,    0
105608,19841203,    7,    0
105608,19841204,    8,    0
105608,19841205,    8,    0
105608,19841206,    6,    0
105608,19841207,    8,    0
105608,19841208,    7,    0
105608,19841209,    6,    0
105608,19841210,    6,    0
105608,19841211,    7,    0
105608,19841212,    3,    0
105608,19841213,    5,    0
105608,19841214,    8,    0
105608,19841215,    5,    0
105608,19841216,    5,    0
105608,19841217,    6,    0
105608,19841218,    6,    0
105608,19841219,    7,    0
105608,19841220,    6,    0
105608,19841221,    5,    0
105608,19841222,    8,    0
105608,19841223,    8,    0
105608,19841224,    6,    0
105608,19841225,    6,    0
105608,19841226,    5,    0
105608,19841227,    3,    0
105608,19841228,    8,    0
105608,19841229,    6,    0
105608,19841230,    8,    0
105608,19841231,    4,    0
105608,19850101,    3,    0
105608,19850102,    2,    0
105608,19850103,    4,    0
105608,19850104,    5,    0
105608,19850105,    6,    0
105608,19850106,    6,    0
105608,19850107,    8,    0
105608,19850108,    6,    0
105608,19850109,    5,    0
105608,19850110,    5,    0
105608,19850111,    4,    0
105608,19850112,    6,    0
105608,19850113,    6,    0
105608,19850114,    7,    0
105608,19850115,    7,    0
105608,19850116,    8,    0
903162,19850117,    8,    0
105608,19850118,    8,    0
105608,19850119,    8,    0
105608,19850120,    5,    0
105608,19850121,    8,    0
105608,19850122,    6,    0
105608,19850123,    2,    0
105608,19850124,    5,    0
105608,19850125,    8,    0
105608,19850126,    1,    0
105608,19850127,    6,    0
105608,19850128,    7,    0
105608,19850129,    7,    0
105608,19850130,    8,    0
105608,19850131,    7,    0
105608,19850201,    7,    0
105608,19850202,    6,    0
105608,19850203,    8,    0
105608,19850204,    8,    0
105608,19850205,    7,    0
105608,19850206,    6,    0
105608,19850207,    8,    0
105608,19850208,    8,    0
105608,19850209,    7,    0
105608,19850210,    6,    0
105608,19850211,    2,    0
105608,19850212,    2,    0
105608,19850213,    5,    0
105608,19850214,    3,    0
105608,19850215,    0,    0
105608,19850216,    4,    0
105608,19850217,    4,    0
105608,19850218,    7,    0
105608,19850219,    8,    0
903162,19850220,    3,    0
903162,19850221,    7,    0
105608,19850222,    8,    0
105608,19850223,    8,    0
105608,19850224,    6,    0
105608,19850225,    4,    0
105608,19850226,    8,    0
105608,19850227,    6,    0
105608,19850228,    6,    0
105608,19850301,    8,    0
105608,19850302,    8,    0
105608,19850303,    8,    0
105608,19850304,    7,    0
105608,19850305,    6,    0
105608,19850306,    8,    0
105608,19850307,    4,    0
105608,19850308,    6,    0
105608,19850309,    8,    0
105608,19850310,    4,    0
105608,19850311,    4,    0
105608,19850312,    7,    0
105608,19850313,    6,    0
105608,19850314,    4,    0
105608,19850315,    5,    0
105608,19850316,    4,    0
105608,19850317,    3,    0
105608,19850318,    4,    0
105608,19850319,    3,    0
105608,19850320,    5,    0
105608,19850321,    6,    0
105608,19850322,    8,    0
105608,19850323,    8,    0
105608,19850324,    8,    0
105608,19850325,    6,    0
105608,19850326,    5,    0
105608,19850327,    5,    0
105608,19850328,    6,    0
105608,19850329,    8,    0
105608,19850330,    8,    0
105608,19850331,    8,    0
105608,19850401,    8,    0
105608,19850402,    7,    0
105608,19850403,    8,    0
105608,19850404,    8,    0
105608,19850405,    7,    0
105608,19850406,    8,    0
105608,19850407,    8,    0
105608,19850408,    8,    0
105608,19850409,    8,    0
105608,19850410,    8,    0
105608,19850411,    7,    0
105608,19850412,    5,    0
105608,19850413,    7,    0
105608,19850414,    4,    0
105608,19850415,    6,    0
105608,19850416,    8,    0
105608,19850417,    7,    0
105608,19850418,    5,    0
105608,19850419,    6,    0
105608,19850420,    6,    0
105608,19850421,    8,    0
105608,19850422,    7,    0
105608,19850423,    5,    0
105608,19850424,    4,    0
105608,19850425,    6,    0
105608,19850426,    7,    0
105608,19850427,    5,    0
105608,19850428,    6,    0
105608,19850429,    8,    0
105608,19850430,    7,    0
105608,19850501,    4,    0
105608,19850502,    3,    0
105608,19850503,    6,    0
105608,19850504,    8,    0
105608,19850505,    8,    0
105608,19850506,    6,    0
105608,19850507,    2,    0
105608,19850508,    6,    0
105608,19850509,    8,    0
105608,19850510,    8,    0
105608,19850511,    5,    0
105608,19850512,    6,    0
105608,19850513,    7,    0
105608,19850514,    8,    0
105608,19850515,    8,    0
105608,19850516,    4,    0
105608,19850517,    5,    0
105608,19850518,    7,    0
105608,19850519,    8,    0
105608,19850520,    6,    0
105608,19850521,    7,    0
105608,19850522,    8,    0
105608,19850523,    7,    0
105608,19850524,    7,    0
105608,19850525,    8,    0
105608,19850526,    7,    0
105608,19850527,    7,    0
105608,19850528,    5,    0
105608,19850529,    4,    0
105608,19850530,    4,    0
105608,19850531,    3,    0
105608,19850601,    2,    0
105608,19850602,    2,    0
105608,19850603,    3,    0
105608,19850604,    5,    0
105608,19850605,    8,    0
105608,19850606,    7,    0
105608,19850607,    7,    0
105608,19850608,    6,    0
105608,19850609,    7,    0
105608,19850610,    6,    0
105608,19850611,    8,    0
105608,19850612,    7,    0
105608,19850613,    6,    0
105608,19850614,    6,    0
105608,19850615,    5,    0
105608,19850616,    4,    0
105608,19850617,    7,    0
105608,19850618,    6,    0
105608,19850619,    4,    0
105608,19850620,    7,    0
105608,19850621,    8,    0
105608,19850622,    8,    0
105608,19850623,    8,    0
105608,19850624,    7,    0
105608,19850625,    6,    0
