 SOUID,    DATE,   QQ, Q_QQ
191076,19960307,  101,    0
191076,19960308,   57,    0
191076,19960309,   88,    0
191076,19960310,   90,    0
209967,19960311,   34,    0
191076,19960312,   19,    0
191076,19960313,   87,    0
191076,19960314,  108,    0
191076,19960315,   27,    0
209967,19960316,   37,    0
191076,19960317,   28,    0
191076,19960318,   30,    0
191076,19960319,   29,    0
191076,19960320,   39,    0
191076,19960321,   13,    0
191076,19960322,   22,    0
191076,19960323,   51,    0
191076,19960324,   41,    0
191076,19960325,   31,    0
191076,19960326,   86,    0
191076,19960327,  124,    0
191076,19960328,   87,    0
191076,19960329,   98,    0
191076,19960330,  109,    0
191076,19960331,   83,    0
191076,19960401,   83,    0
191076,19960402,   84,    0
191076,19960403,   78,    0
191076,19960404,  190,    0
191076,19960405,  220,    0
191076,19960406,  135,    0
191076,19960407,   50,    0
191076,19960408,   28,    0
191076,19960409,   83,    0
191076,19960410,   58,    0
191076,19960411,  102,    0
191076,19960412,   41,    0
191076,19960413,   86,    0
191076,19960414,   42,    0
191076,19960415,   33,    0
191076,19960416,   35,    0
191076,19960417,   47,    0
191076,19960418,   60,    0
191076,19960419,   97,    0
191076,19960420,   57,    0
191076,19960421,   40,    0
191076,19960422,  201,    0
191076,19960423,   53,    0
191076,19960424,   98,    0
191076,19960425,   90,    0
191076,19960426,   33,    0
191076,19960427,  139,    0
191076,19960428,  150,    0
191076,19960429,  127,    0
191076,19960430,   93,    0
191076,19960501,   55,    0
191076,19960502,  249,    0
191076,19960503,  184,    0
191076,19960504,  189,    0
191076,19960505,  160,    0
191076,19960506,  189,    0
191076,19960507,   94,    0
191076,19960508,  201,    0
191076,19960509,  259,    0
191076,19960510,  216,    0
191076,19960511,   91,    0
191076,19960512,   82,    0
191076,19960513,  192,    0
191076,19960514,  268,    0
191076,19960515,  172,    0
191076,19960516,  155,    0
191076,19960517,  165,    0
191076,19960518,  193,    0
191076,19960519,   74,    0
191076,19960520,  142,    0
191076,19960521,  158,    0
191076,19960522,   61,    0
191076,19960523,  111,    0
191076,19960524,  199,    0
191076,19960525,  151,    0
191076,19960526,  106,    0
191076,19960527,  232,    0
191076,19960528,   35,    0
191076,19960529,  187,    0
191076,19960530,   70,    0
191076,19960531,  132,    0
191076,19960601,  157,    0
191076,19960602,  220,    0
191076,19960603,   55,    0
191076,19960604,  211,    0
191076,19960605,   77,    0
209967,19960606,  290,    0
191076,19960607,  274,    0
191076,19960608,  310,    0
191076,19960609,  247,    0
191076,19960610,  128,    0
191076,19960611,   45,    0
191076,19960612,  257,    0
191076,19960613,  207,    0
191076,19960614,  319,    0
191076,19960615,  323,    0
191076,19960616,  320,    0
209967,19960617,  295,    0
191076,19960618,  132,    0
191076,19960619,  156,    0
191076,19960620,  144,    0
191076,19960621,  192,    0
191076,19960622,  241,    0
191076,19960623,  313,    0
191076,19960624,  269,    0
191076,19960625,  133,    0
191076,19960626,  280,    0
191076,19960627,  202,    0
191076,19960628,  105,    0
191076,19960629,   77,    0
191076,19960630,  157,    0
191076,19960701,  138,    0
191076,19960702,  166,    0
191076,19960703,  109,    0
191076,19960704,  151,    0
191076,19960705,  200,    0
191076,19960706,  157,    0
191076,19960707,  202,    0
191076,19960708,  252,    0
191076,19960709,  231,    0
191076,19960710,  166,    0
191076,19960711,  180,    0
191076,19960712,  172,    0
191076,19960713,   86,    0
191076,19960714,  321,    0
191076,19960715,  291,    0
209967,19960716,  296,    0
191076,19960717,  329,    0
191076,19960718,  308,    0
191076,19960719,  211,    0
191076,19960720,  309,    0
191076,19960721,  199,    0
191076,19960722,  108,    0
191076,19960723,  179,    0
191076,19960724,  156,    0
191076,19960725,  186,    0
191076,19960726,  276,    0
191076,19960727,  114,    0
191076,19960728,  178,    0
191076,19960729,   46,    0
191076,19960730,   78,    0
191076,19960731,  134,    0
191076,19960801,  107,    0
191076,19960802,  133,    0
191076,19960803,  134,    0
191076,19960804,  237,    0
191076,19960805,  180,    0
191076,19960806,   70,    0
191076,19960807,  109,    0
191076,19960808,   68,    0
191076,19960809,  216,    0
191076,19960810,  157,    0
191076,19960811,  135,    0
191076,19960812,  132,    0
191076,19960813,  184,    0
191076,19960814,  172,    0
191076,19960815,  230,    0
191076,19960816,  161,    0
191076,19960817,  149,    0
191076,19960818,  237,    0
191076,19960819,  149,    0
191076,19960820,   93,    0
191076,19960821,   86,    0
191076,19960822,  127,    0
191076,19960823,  196,    0
191076,19960824,  142,    0
191076,19960825,  149,    0
191076,19960826,  132,    0
191076,19960827,  112,    0
191076,19960828,  142,    0
191076,19960829,  197,    0
191076,19960830,  145,    0
191076,19960831,  150,    0
191076,19960901,   61,    0
191076,19960902,  209,    0
191076,19960903,  102,    0
191076,19960904,  173,    0
191076,19960905,   73,    0
191076,19960906,  150,    0
191076,19960907,  172,    0
191076,19960908,  166,    0
191076,19960909,  168,    0
191076,19960910,  127,    0
191076,19960911,   66,    0
191076,19960912,  162,    0
191076,19960913,  202,    0
191076,19960914,  126,    0
191076,19960915,  148,    0
191076,19960916,  180,    0
191076,19960917,  130,    0
191076,19960918,   80,    0
191076,19960919,  141,    0
191076,19960920,  118,    0
191076,19960921,   73,    0
191076,19960922,   62,    0
191076,19960923,   69,    0
191076,19960924,   15,    0
191076,19960925,  111,    0
191076,19960926,   21,    0
191076,19960927,  133,    0
191076,19960928,   53,    0
191076,19960929,   54,    0
191076,19960930,   99,    0
191076,19961001,   96,    0
191076,19961002,  119,    0
191076,19961003,   15,    0
191076,19961004,   80,    0
191076,19961005,  128,    0
191076,19961006,   18,    0
191076,19961007,   17,    0
191076,19961008,  102,    0
191076,19961009,   77,    0
191076,19961010,   61,    0
209967,19961011,   28,    0
209967,19961012,   27,    0
191076,19961013,   96,    0
191076,19961014,   36,    0
191076,19961015,   39,    0
191076,19961016,   24,    0
191076,19961017,   82,    0
191076,19961018,   47,    0
191076,19961019,   67,    0
209967,19961020,   23,    0
191076,19961021,   79,    0
191076,19961022,   14,    0
191076,19961023,   68,    0
209967,19961024,   21,    0
191076,19961025,   27,    0
191076,19961026,   29,    0
191076,19961027,   13,    0
191076,19961028,   21,    0
191076,19961029,   91,    0
209967,19961030,   19,    0
191076,19961031,   15,    0
209967,19961101,   18,    0
209967,19961102,   17,    0
191076,19961103,   24,    0
191076,19961104,   34,    0
191076,19961105,   58,    0
191076,19961106,   18,    0
191076,19961107,   51,    0
191076,19961108,   31,    0
191076,19961109,   58,    0
191076,19961110,   52,    0
191076,19961111,   41,    0
191076,19961112,   49,    0
191076,19961113,   36,    0
191076,19961114,   25,    0
191076,19961115,   23,    0
209967,19961116,   13,    0
191076,19961117,   37,    0
191076,19961118,   55,    0
191076,19961119,   15,    0
191076,19961120,   35,    0
191076,19961121,   48,    0
191076,19961122,   29,    0
191076,19961123,   19,    0
191076,19961124,    5,    0
191076,19961125,   26,    0
191076,19961126,   33,    0
191076,19961127,   30,    0
