 SOUID,    DATE,   TN, Q_TN
100919,19971019,   52,    0
100919,19971020,   35,    0
100919,19971021,   24,    0
100919,19971022,  -20,    0
100919,19971023,    9,    0
100919,19971024,   -6,    0
100919,19971025,  -26,    0
100919,19971026,    0,    0
100919,19971027,    9,    0
100919,19971028,  -16,    0
100919,19971029,  -72,    0
100919,19971030,  -42,    0
100919,19971031,   42,    0
100919,19971101,   11,    0
100919,19971102,   69,    0
100919,19971103,   64,    0
100919,19971104,   42,    0
100919,19971105,   41,    0
100919,19971106,   76,    1
100919,19971107,  -20,    0
100919,19971108,   -7,    0
100919,19971109,   16,    0
100919,19971110,   30,    0
100919,19971111,   62,    0
100919,19971112,   30,    0
100919,19971113,   22,    0
100919,19971114,  -16,    0
100919,19971115,   19,    0
100919,19971116,   72,    0
100919,19971117,   81,    0
100919,19971118,   91,    0
100919,19971119,   79,    0
100919,19971120,   81,    0
100919,19971121,   20,    0
100919,19971122,    4,    0
100919,19971123,    8,    0
100919,19971124,   36,    0
100919,19971125,   50,    0
100919,19971126,   55,    0
100919,19971127,   64,    0
100919,19971128,   47,    0
100919,19971129,   56,    1
100919,19971130,   22,    0
100919,19971201,  -62,    0
100919,19971202,  -67,    0
100919,19971203,  -30,    0
100919,19971204,  -30,    0
100919,19971205,  -21,    0
100919,19971206,   24,    0
100919,19971207,   75,    0
100919,19971208,   69,    0
100919,19971209,   56,    0
100919,19971210,   56,    0
100919,19971211,   28,    0
100919,19971212,  -10,    0
100919,19971213,  -14,    0
100919,19971214,   27,    0
100919,19971215,    7,    0
100919,19971216,   18,    0
100919,19971217,   15,    0
100919,19971218,   12,    0
100919,19971219,   47,    0
100919,19971220,   34,    0
100919,19971221,   32,    0
100919,19971222,    2,    0
100919,19971223,    4,    0
100919,19971224,   43,    0
100919,19971225,   34,    0
100919,19971226,   30,    0
100919,19971227,   15,    0
100919,19971228,    5,    0
100919,19971229,  -29,    0
100919,19971230,  -28,    0
100919,19971231,   31,    0
100919,19980101,   -2,    0
100919,19980102,   11,    0
100919,19980103,   35,    1
100919,19980104,   -1,    0
100919,19980105,   -7,    0
100919,19980106,  -15,    0
100919,19980107,   -9,    0
100919,19980108,    6,    0
100919,19980109,   11,    0
100919,19980110,   83,    0
